Date,MarketReturn
19290220,2.056938984
19290221,2.072324888
19290225,2.078500416
19290226,2.086357148
19290227,2.108848078
19290228,2.130527036
19290301,2.152343633
19290302,2.146833633
19290304,2.12802737
19290305,2.113854708
19290306,2.080963129
19290307,2.097069784
19290308,2.109526378
19290309,2.109610759
19290311,2.082481165
19290312,2.087978915
19290313,2.108733425
19290314,2.141714016
19290315,2.164930196
19290316,2.171078598
19290318,2.162046911
19290319,2.162782007
19290320,2.163517353
19290321,2.154517121
19290322,2.130041806
19290323,2.109465602
19290325,2.043523708
19290326,2.020104926
19290327,2.086647182
19290328,2.120951662
19290401,2.073315087
19290402,2.098277801
19290403,2.07591016
19290404,2.101111709
19290405,2.085647527
19290406,2.088442295
19290408,2.068894475
19290409,2.051184738
19290410,2.061522709
19290411,2.082838854
19290412,2.096252336
19290413,2.096126561
19290415,2.084262485
19290416,2.085596413
19290417,2.10716148
19290418,2.115463696
19290419,2.115125222
19290420,2.119440077
19290422,2.137328151
19290423,2.147031621
19290424,2.14217933
19290425,2.129626159
19290426,2.128220605
19290427,2.14022377
19290429,2.129180215
19290430,2.164609774
19290501,2.167358828
19290502,2.170761582
19290503,2.187411323
19290504,2.194564158
19290506,2.1835255
19290507,2.169048726
19290508,2.171586513
19290509,2.160011957
19290510,2.1858673
19290511,2.178806949
19290513,2.132768758
19290514,2.152112971
19290515,2.145592068
19290516,2.147458733
19290517,2.158775841
19290518,2.155257036
19290520,2.113164866
19290521,2.114580687
19290522,2.047907958
19290523,2.079793885
19290524,2.070372418
19290525,2.063064004
19290527,1.997396677
19290528,2.020107077
19290529,2.022470602
19290531,2.034342504
19290601,2.047179206
19290603,2.073608289
19290604,2.103074263
19290605,2.096996378
19290606,2.103098638
19290607,2.094076345
19290608,2.086977426
19290610,2.076146013
19290611,2.084886588
19290612,2.08594988
19290613,2.112253708
19290614,2.119245268
19290615,2.12583612
19290617,2.152217747
19290618,2.156328483
19290619,2.142765176
19290620,2.152429047
19290621,2.167302332
19290622,2.174476103
19290624,2.170366343
19290625,2.187533941
19290626,2.200243513
19290627,2.201585661
19290628,2.2227429
19290629,2.242325265
19290701,2.25091337
19290702,2.276191128
19290703,2.283998463
19290705,2.295030176
19290706,2.299000578
19290708,2.300219048
19290709,2.303048318
19290710,2.296438569
19290711,2.302478202
19290712,2.323960324
19290713,2.33355828
19290715,2.323127275
19290716,2.334580292
19290717,2.341187154
19290718,2.338682084
19290719,2.346703764
19290720,2.350528891
19290722,2.324743589
19290723,2.348990664
19290724,2.337785979
19290725,2.3500126
19290726,2.340918051
19290727,2.330922331
19290729,2.304186652
19290730,2.324993457
19290731,2.350405636
19290801,2.369796482
19290802,2.392191059
19290803,2.404750062
19290805,2.390441799
19290806,2.379565289
19290807,2.355650658
19290808,2.377204861
19290809,2.291744347
19290810,2.328526843
19290812,2.363105467
19290813,2.380001671
19290814,2.383690674
19290815,2.39096093
19290816,2.434356871
19290817,2.440807917
19290819,2.453378078
19290820,2.461106218
19290821,2.452369291
19290822,2.473582286
19290823,2.497204997
19290824,2.503073428
19290826,2.502197353
19290827,2.500570924
19290828,2.500195839
19290829,2.521572513
19290830,2.549435889
19290903,2.558996274
19290904,2.545817443
19290905,2.497574203
19290906,2.549398867
